Codice,Varieta,Codice del clone,Nome del clone,Data di approvazione,Costitutore,Sinonimi,Annotazioni,Gazzetta ufficiale,Data G.U.
009,ALEATICO N.,010,I - Cravit - Assam PU 10T,2015-12-30,1/61,,,G.U. 16,2016-01-21
009,ALEATICO N.,011,I - CRSFA - Regione Puglia E684,2020-01-07,66-71-11-80,,,G.U. 16,2020-01-21
009,ALEATICO N.,012,I - VCR 261,2022-04-12,2,,,G.U. 106,2022-05-07
010,ALICANTE N.,,,1970-05-25,,"(51)CANNONAU N., (236) TOCAI ROSSO N.,CANNONAO, GARNACHA TINTA, GRANACCIA,GRENACHE, GUARNACCIA, GAMAY*",* Ai soli fini della designazione dei vini DO e IGT della Provincia di Perugia,G.U. 149,1970-06-17
010,ALICANTE N.,001,I - 1 ISV - ICA PG,2002-11-27,1/26/ 46,,,G.U. 19,2003-01-24
010,ALICANTE N.,002,I - Regione Sicilia 7,2011-04-22,84,,,G. U. 170,2011-07-23
011,ALICANTE BOUSCHET N.,,,1970-05-25,,,,G.U. 149,1970-06-17
011,ALICANTE bOUSCHET N.,001,I - VCR 417,2022-04-12,2,,,G.U. 106,2022-05-07
011,ALICANTE BOUSCHET N.,002,I - VCR 418,2022-04-12,2,,,G.U. 106,2022-04-07
012,ANCELLOTTA N.,,,1970-05-25,,LANCELLOTTA,,G.U. 149,1970-06-17
012,ANCELLOTTA N.,001,I - FEDIT 18 C.S.G.,1969-12-24,3,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
012,ANCELLOTTA N.,002,I - RAUSCEDO 2,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
012,ANCELLOTTA N.,003,I - VCR 540,2009-03-27,2,,,G.U. 146,2009-06-26
012,ANCELLOTTA N.,004,I - CAB 1,2011-04-22,8/34,,,G. U. 170,2011-07-23
012,ANCELLOTTA N.,005,I - VCR 463,2015-12-30,2,,,G.U. 16,2016-01-21
013,ANSONICA B.,,,1970-05-25,,"INZOLIA , INSOLIA",,G.U. 149,1970-06-17
013,ANSONICA B.,001,I - VCR 3,2006-02-02,2,,,G.U. 61,2006-03-14
013,ANSONICA B.,002,I - Cosa 1,2007-09-19,62/9/ 15/1/6,,,G.U. 253,2007-10-30
013,ANSONICA B.,003,I - Settefinestre 1,2007-09-19,62/9/ 15/1/6,,,G.U. 253,2007-10-30
013,ANSONICA B.,004,I - Settefinestre 2,2007-09-19,62/9/ 15/1/6,,,G.U. 253,2007-10-30
013,ANSONICA B.,005,I - Settefinestre 3,2007-09-19,62/9/ 15/1/6,,,G.U. 253,2007-10-30
013,ANSONICA B.,006,I - VFP 106,2014-05-15,4,,,G.U. 127,2014-06-04
014,ARNEIS B.,,,1970-05-25,,,,G.U. 149,1970-06-17
014,ARNEIS B.,001,I - CVT CN 15,1987-07-03,12,,,G.U. 171,1987-07-24
014,ARNEIS B.,002,I - CVT CN 19,1987-07-03,12,,,G.U. 171,1987-07-24
014,ARNEIS B.,003,I - CVT CN 32,1987-07-03,12,,,G.U. 171,1987-07-24
014,ARNEIS B.,004,I - VCR 1,2000-12-06,2,,,G.U. 170,2001-07-24
014,ARNEIS B.,005,I - VCR 2,2000-12-06,2,,,G.U. 170,2001-07-24
014,ARNEIS B.,006,I - VCR 4,2002-11-27,2,,,G.U. 19,2003-01-24
014,ARNEIS B.,007,I - CVT 53,2015-12-30,12/76,,,G.U. 16,2016-01-21
014,ARNEIS B.,008,I - CTR-FDG 118,2023-01-30,115,,,G.U. 46,2023-02-23
014,ARNEIS B.,009,I - CTR-FDG 130,2023-01-30,115,,,G.U. 46,2023-02-23
014,ARNEIS B.,010,I - CTR-FDG 410,2023-01-30,115,,,G.U. 46,2023-02-23
015,ARVESINIADU B.,,,1970-05-25,,,,G.U. 149,1970-06-17
016,ASPRINIO BIANCO B.,,,1970-05-25,,(097) GRECO B.,,G.U. 149,1970-06-17
017,AVANA' N.,,,1970-05-25,,,,G.U. 149,1970-06-17
017,AVANA' N.,001,I - CVT 1,2009-03-27,12/70/34,,,G.U. 146,2009-06-26
018,AVARENGO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
019,BARBERA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
019,BARBERA N.,001,I - RAUSCEDO 4,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
019,BARBERA N.,002,I - FEDIT 3 C.S.G.,1969-12-24,3,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
019,BARBERA N.,004,I - MI-B-12,1976-04-29,7,,,G.U. 153,1976-06-11
019,BARBERA N.,005,I - MI-B-34,1976-04-29,7,,,G.U. 153,1976-06-11
019,BARBERA N.,007,I - PC-Ba-9,1979-06-20,16,,,G.U. 218,1979-08-09
019,BARBERA N.,008,I - PC-Ba-26,1979-06-20,16,,,G.U. 218,1979-08-09
019,BARBERA N.,009,I - AT 84,1980-10-01,12,,,G.U. 300,1980-10-31
019,BARBERA N.,010,I - CVT AL 115,1990-01-19,12,,,G.U. 199,1990-08-27
019,BARBERA N.,011,I - CVT AT 171,1990-01-19,12,,,G.U. 199,1990-08-27
019,BARBERA N.,012,I - CVT AT 424,1990-01-19,12,,,G.U. 199,1990-08-27
019,BARBERA N.,013,I - BA-AL-128,1988-12-22,24,,,G.U. 199,1990-08-27
019,BARBERA N.,014,I - BA-AL-132,1988-12-22,24,,,G.U. 199,1990-08-27
019,BARBERA N.,015,I - 17-BA,1990-08-31,7/33,,,G.U. 242,1991-10-15
019,BARBERA N.,016,I - CVT 83,2001-11-06,12,,,G.U. 297,2001-12-22
019,BARBERA N.,017,I - VCR 19,2007-01-09,2,,,G.U. 38,2007-02-15
019,BARBERA N.,018,I - VCR 101,2007-01-09,2,,,G.U. 38,2007-02-15
019,BARBERA N.,019,I - VCR 433,2007-01-09,2,,,G.U. 38,2007-02-15
019,BARBERA N.,020,I - VCR 207,2009-01-12,2,,,G.U. 93,2009-04-22
019,BARBERA N.,021,I - VCR 223,2009-01-12,2,,,G.U. 93,2009-04-22
019,BARBERA N.,022,I - CVT OB66,2009-01-12,12/70/34,,,G.U. 93,2009-04-22
019,BARBERA N.,023,I - CVT GJ1,2009-01-12,12/70/34,,,G.U. 93,2009-04-22
019,BARBERA N.,024,I - CVT GJ 105,2011-04-22,12,,,G. U. 170,2011-07-23
019,BARBERA N.,025,I - CVT MCC 3,2011-04-22,12,,,G. U. 170,2011-07-23
019,BARBERA N.,026,I - Ampelos DGV 13,2013-07-10,65/60,,,G. U. 186,2013-08-09
019,BARBERA N.,027,I - VITIS 9,2013-09-27,58,,,G. U. 241,2013-10-14
019,BARBERA N.,028,I - UNIMI Barbera 3,2013-09-27,33,,,G. U. 241,2013-10-14
019,BARBERA N.,029,I - UNIMI Barbera 5,2013-09-27,33,,,G. U. 241,2013-10-14
019,BARBERA N.,030,I - CVT GJ 102,2014-05-15,12/76,,,G.U.127,2014-06-04
019,BARBERA N.,031,I - CVT GJ 106,2014-05-15,12/76,,,G.U. 127,2014-06-04
019,BARBERA N.,032,I - Ampelos 16,2014-05-15,60/78/59/96,,,G.U. 127,2014-06-04
019,BARBERA N.,033,I - Ampelos 19,2014-05-15,60/78/59/96,,,G.U. 127,2014-06-04
019,BARBERA N.,034,I - AMPELOS VCP 8,2019-05-23,60/68,,,G.U. 132,2019-06-07
020,BARBERA BIANCA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
021,BARBERA SARDA N.,,,1971-02-22,,,,G.U. 71,1971-03-22
022,BARSAGLINA N.,,,1970-05-25,,MASSARETTA,,G.U. 149,1970-06-17
022,BARSAGLINA N.,001,I - BARSA - FI. PI - 1,2012-03-23,87/9/15/37,,,G. U. 137,2012-06-14
023,BELLONE B.,,,1970-05-25,,CACCHIONE,,G.U. 149,1970-06-17
023,BELLONE B.,001,I - VCR 2,1999-03-01,2,,,G.U. 86,1999-04-14
023,BELLONE B.,002,I - ARSIAL-CRA 618,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
024,BERVEDINO B.,,,1970-05-25,,(261) VERNACCIA DI S. GIMIGNANO B.,,G.U. 149,1970-06-17
025,BIANCAME B.,,,1970-05-25,,"(244) TREBBIANO TOSCANO B., BIANCHELLO",,G.U. 149,1970-06-17
025,BIANCAME B.,001,I - CSV-AP PS-2,1990-06-21,13,,,G.U. 196,1990-08-23
025,BIANCAME B.,002,I - CSV-AP PS-3,1990-06-21,13,,,G.U. 196,1990-08-23
025,BIANCAME B.,003,I - CSV-AP PS-7,1990-06-21,13,,,G.U. 196,1990-08-23
025,BIANCAME B.,004,I - CSV-AP PS-8,1990-06-21,13,,,G.U. 196,1990-08-23
025,BIANCAME B.,005,I - CAB 19,1994-10-26,8/34,,,G.U. 273,1994-11-22
025,BIANCAME B.,006,I - CAB 20,1994-10-26,8/34,,,G.U. 273,1994-11-22
025,BIANCAME B.,007,I - VCR 352,2019-05-23,2,,,G.U. 132,2019-06-07
025,BIANCAME B.,008,I - VCR 353,2019-05-23,2,,,G.U. 132,2019-06-07
025,BIANCAME B.,009,I - VCR 479,2019-05-23,2,,,G.U. 132,2019-06-07
026,BIANCHETTA GENOVESE B.,,,1970-05-25,,(8) ALBAROLA B.,,G.U. 149,1970-06-17
027,BIANCHETTA TREVIGIANA B.,,,1970-05-25,,,,G.U. 149,1970-06-17
028,BIANCO D'ALESSANO B.,,,1970-05-25,,,,G.U. 149,1970-06-17
028,BIANCO D'ALESSANO B.,001,I - CRSA - Regione Puglia C2,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
028,BIANCO D'ALESSANO B.,002,I - CRSA - Regione Puglia C5,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
029,BIANCOLELLA B.,,,1970-05-25,,"JANCULILLO, JANCULELLA",,G.U. 149,1970-06-17
030,BIANCONE B.,,,1970-05-25,,,,G.U. 149,1970-06-17
032,BOMBINO BIANCO B.,,,1970-05-25,,"OTTENESE, BOMBINO*, BONVINO*",* Ai soli fini della designazione,G.U. 149,1970-06-17
032,BOMBINO BIANCO B.,001,I - ARSIAL-CRA 231,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
032,BOMBINO BIANCO B.,002,I - CRSA - Regione Puglia C191,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
032,BOMBINO BIANCO B.,003,I - CRSA - Regione Puglia C197,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
032,BOMBINO BIANCO B.,004,I - VCR 200,2021-06-18,2,,,G.U. 151,2021-06-26
033,BOMBINO NERO N.,,,1970-05-25,,"BOMBINO*, BONVINO*",* Ai soli fini della designazione,G.U. 149,1970-06-17
033,BOMBINO NERO N.,001,I - CRSA - Regione Puglia D205,2010-05-28,66/71/11/80,,,G. U. 189,2010-08-14
033,BOMBINO NERO N.,002,I - CRSFA - Regione Puglia D213,2020-01-07,66/71/11/80,,,G.U. 16,2020-01-21
034,BONAMICO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
035,BONARDA N.,,,1970-05-25,,UVA RARA *,* Ai soli fini della designazione dei vini DO e IGT della Provincia di Novara,G.U. 149,1970-06-17
035,BONARDA N.,001,I - VCR 135,2010-05-28,2,,,G. U. 189,2010-08-14
035,BONARDA N.,002,I - CVT 64,2014-10-20,12-76,,,G.U. 258,2014-06-11
035,BONARDA N.,003,I - CVT 71,2014-10-20,12-76,,,G.U. 258,2014-06-11
035,BONARDA N.,004,I - CVT 66,2014-10-20,12-76,,,G.U. 258,2014-06-11
035,BONARDA N.,005,I - VCR 476,2021-06-18,2,,,G.U. 151,2021-06-26
036,BOSCO B.,,,1970-05-25,,,,G.U. 149,1970-06-17
036,BOSCO B.,001,I - CVT 3,2002-11-27,12,,,G.U. 19,2003-01-24
036,BOSCO B.,002,I - CVT 101,2002-11-27,12,,,G.U. 19,2003-01-24
036,BOSCO B.,003,I - CVT 18,2008-06-23,12,,,G.U. 194,2008-08-20
037,BOVALE GRANDE N.,,,1970-05-25,,"(054) CARIGNANO N., BOVALE DI SPAGNA, BOVALE*, (164) NERELLO CAPPUCCIO N.",* Ai soli fini della designazione,G.U. 149,1970-06-17
038,BOVALE N.,,,1970-05-25,,BOVALEDDU,,G.U. 149,1970-06-17
039,BRACCIOLA NERA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
040,BRACHETTO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
040,BRACHETTO N.,001,I - AL-BRA-33,1988-12-22,24,,,G.U. 199,1990-08-27
040,BRACHETTO N.,002,I - AL-BRA-34,1988-12-22,24,,,G.U. 199,1990-08-27
040,BRACHETTO N.,003,I - CVT 20,1994-11-24,12,,,G.U. 295,1994-12-19
042,CABERNET FRANC N.,,,1970-05-25,,CABERNET*,* Ai soli fini della designazione,G.U. 149,1970-06-17
042,CABERNET FRANC N.,001,I - ISV CONEGLIANO 1,1969-12-24,1,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
042,CABERNET FRANC N.,003,I - FEDIT 4 C.S.G.,1969-12-24,3,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
042,CABERNET FRANC N.,004,I - ISV-F-V4,1990-06-21,1/23,,,G.U. 199,1990-08-27
042,CABERNET FRANC N.,008,I - VCR 10,1992-11-14,2,,,G.U. 289,1992-12-09
042,CABERNET FRANC N.,009,I - ISV SAVARDO 7,1999-03-01,1,,,G.U. 86,1999-04-14
042,CABERNET FRANC N.,010,I - ISV SAVARDO 8,1999-03-01,1,,,G.U. 86,1999-04-14
042,CABERNET FRANC N.,011,I - ISV 101,2003-07-09,1,,,G.U. 241,2003-10-16
042,CABERNET FRANC N.,012,I - TEA 1,2006-02-02,59/60,,,G.U. 61,2006-03-14
042,CABERNET FRANC N.,013,I - TEA 2,2006-02-02,59/60,,,G.U. 61,2006-03-14
042,CABERNET FRANC N.,014,I - TEA 3,2006-02-02,59/60,,,G.U. 61,2006-03-14
042,CABERNET FRANC N.,015,I - CRAVIT-ERSA FVG 300,2009-03-27,23/1,,,G.U. 146,2009-06-26
042,CABERNET FRANC N.,016,I - CRAVIT-ERSA FVG 301,2009-03-27,23/1,,,G.U. 146,2009-06-26
042,CABERNET FRANC N.,017,I - CRAVIT-ERSA FVG 302,2009-03-27,23/1,,,G.U. 146,2009-06-26
042,CABERNET FRANC N.,018,I - MI - CAF - 3,2010-05-28,33/29/41,,,G. U. 189,2010-08-14
042,CABERNET FRANC N.,019,I - VCR 2,2014-10-20,2,,,G.U. 258,2014-06-11
042,CABERNET FRANC N.,020,I - VCR 4,2014-10-20,2,,,G.U. 258,2014-06-11
043,CABERNET SAUVIGNON N.,,,1970-05-25,,CABERNET*,* Ai soli fini della designazione,G.U. 149,1970-06-17
043,CABERNET SAUVIGNON N.,002,I - RAUSCEDO 5 SELEZ. FERRARI,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
043,CABERNET SAUVIGNON N.,003,I - ISV-F-V5,1990-06-21,1/23,,,G.U. 199,1990-08-27
043,CABERNET SAUVIGNON N.,004,I - ISV-F-V6,1990-06-21,1/23,,,G.U. 199,1990-08-27
043,CABERNET SAUVIGNON N.,005,I - ISV 2,2003-07-09,1,,,G.U. 241,2003-10-16
043,CABERNET SAUVIGNON N.,006,I - ISV 105,2003-07-09,1,,,G.U. 241,2003-10-16
043,CABERNET SAUVIGNON N.,007,I - ISV 117,2003-07-09,1,,,G.U. 241,2003-10-16
043,CABERNET SAUVIGNON N.,008,I - VCR 8,2003-07-09,2,,,G.U. 241,2003-10-16
043,CABERNET SAUVIGNON N.,009,I - VCR 11,2003-07-09,2,,,G.U. 241,2003-10-16
043,CABERNET SAUVIGNON N.,010,I - VCR 19,2003-07-09,2,,,G.U. 241,2003-10-16
043,CABERNET SAUVIGNON N.,011,I - TEA 4,2006-02-02,59/60,,,G.U. 61,2006-03-14
043,CABERNET SAUVIGNON N.,012,I - Ampelos TEA 10,2008-01-28,59/60,,,G.U. 62,2008-03-13
043,CABERNET SAUVIGNON N.,013,I - Ampelos TEA 11,2008-01-28,59/60,,,G.U. 62,2008-03-13
043,CABERNET SAUVIGNON N.,014,I - CRAVIT-ERSA FVG 311,2009-03-27,23/1,,,G.U. 146,2009-06-26
043,CABERNET SAUVIGNON N.,015,I - CRAVIT-ERSA FVG 312,2009-03-27,23/1,,,G.U. 146,2009-06-26
043,CABERNET SAUVIGNON N.,016,I - CRAVIT-ERSA FVG 313,2009-03-27,23/1,,,G.U. 146,2009-06-26
043,CABERNET SAUVIGNON N.,017,I - CRAVIT-ERSA FVG 314,2009-03-27,23/1,,,G.U. 146,2009-06-26
043,CABERNET SAUVIGNON N.,018,I - CRAVIT ERSA FVG 315,2011-04-22,23/1,,,G. U. 170,2011-07-23
043,CABERNET SAUVIGNON N.,019,I - CRAVIT ERSA FVG 316,2011-04-22,23/1,,,G. U. 170,2011-07-23
043,CABERNET SAUVIGNON N.,020,I - VCR 7,2013-07-10,2,,,G. U. 186,2013-08-09
043,CABERNET SAUVIGNON N.,021,I - VCR 500,2013-07-10,2,,,G. U. 186,2013-08-09
043,CABERNET SAUVIGNON N.,022,I - VITIS 9,2014-05-15,58,,,G.U. 127,2014-06-04
043,CABERNET SAUVIGNON N.,023,I - VCR 13,2014-10-20,2,,,G.U. 258,2014-06-11
043,CABERNET SAUVIGNON N.,024,I - VCR 489,2014-10-20,2,,,G.U. 258,2014-06-11
044,CADDIU N.,,,1970-05-25,,,,G.U. 149,1970-06-17
045,CAGNULARI N.,,,1970-05-25,,CAGNIULARI,,G.U. 149,1970-06-17
045,CAGNULARI N.,001,I - VCR 208,2021-06-18,2,,,G.U. 151,2021-06-26
046,CALABRESE N.,,,1970-05-25,,NERO D'AVOLA,,G.U. 149,1970-06-17
046,CALABRESE N.,001,I - AM 39,1987-12-10,19/20,,,G.U. 18,1988-01-23
046,CALABRESE N.,002,I - AM 28,1990-03-06,19/20/22,,,G.U. 199,1990-08-27
046,CALABRESE N.,003,I - Ampelos VCP 2,2009-01-12,60/68,,,G.U. 93,2009-04-22
046,CALABRESE N.,004,I - Regione Sicilia 84,2011-04-22,84,,,G. U. 170,2011-07-23
046,CALABRESE N.,005,I - VFP 12,2014-05-15,4,,,G.U. 127,2014-06-04
046,CALABRESE N.,006,I - UNIMI RG 101,2014-10-20,33,,,G.U. 258,2014-06-11
046,CALABRESE N.,007,I - VITIS RG 125,2014-10-20,58,,,G.U. 258,2014-06-11
046,CALABRESE N.,008,I - VCR 483,2022-04-12,2,,,G.U. 106,2022-05-07
046,CALABRESE N.,009,I - VCR 484,2022-04-12,2,,,G.U. 106,2022-05-07
047,CALORIA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
048,CANAIOLO BIANCO B.,,,1970-05-25,,"DRUPEGGIO, CANAIOLO *",* Ai soli fini della designazione,G.U. 149,1970-06-17
048,CANAIOLO BIANCO B.,001,I - ARSIAL-CRA 402,2009-03-27,1/63/72,,,G.U. 146,2009-06-26
049,CANAIOLO NERO N.,,,1970-05-25,,,,G.U. 149,1970-06-17
049,CANAIOLO NERO N.,001,I - RAUSCEDO 6,1969-12-24,2,,,D.P.R. 1164/69 in G.U. 48,1970-02-24
049,CANAIOLO NERO N.,002,I - NIPOZZANO 8,1976-02-04,9,,,G.U. 136,1976-05-24
049,CANAIOLO NERO N.,003,I - MUGELLO 30,1980-10-01,9,,,G.U. 300,1980-10-31
049,CANAIOLO NERO N.,004,I - CAN-N-6,1978-10-24,15,,,G.U. 323,1978-11-18
049,CANAIOLO NERO N.,005,I - FEDIT 23 ,1990-08-31,3,,,G.U. 242,1991-10-15
049,CANAIOLO NERO N.,006,I - FEDIT 24 ,1990-08-31,3,,,G.U. 242,1991-10-15
049,CANAIOLO NERO N.,007,I - FEDIT 25 ,1990-08-31,3,,,G.U. 242,1991-10-15
049,CANAIOLO NERO N.,008,I - VCR 10,2004-05-07,2,,,G.U. 242,2004-10-14
049,CANAIOLO NERO N.,009,I - VCR 109,2007-09-19,2,,,G.U. 253,2007-10-30
049,CANAIOLO NERO N.,010,I - CRA VIC BC SF4,2011-04-22,82/60/90/91,,,G. U. 170,2011-07-23
049,CANAIOLO NERO N.,011,I - CCL - 2000/11,2012-03-23,30/87/9/15/37,,,G. U. 137,2012-06-14
050,CANINA NERA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
051,CANNONAU N.,,,1970-05-25,,"(10) ALICANTE N., (236) TOCAI ROSSO N., GARNACHA TINTA, GRANACCIA , GRENACHE , CANNONAO, GAMAY*",*Ai soli fini della designazione dei vini DO e IGT della Provincia di Perugia,G.U. 149,1970-06-17
051,CANNONAU N.,001,I - CAP VS 5,1991-09-23,25,,,G.U. 242,1991-10-15
051,CANNONAU N.,002,I - CFC 13,1993-07-15,14,,,G.U. 179,1993-08-02
051,CANNONAU N.,003,I - CAP VS 1,1994-10-26,25,,,G.U. 273,1994-11-22
051,CANNONAU N.,004,I - CAP VS 2,1994-10-26,25,,,G.U. 273,1994-11-22
051,CANNONAU N.,005,I - VCR 23,2006-02-02,2,,,G.U. 61,2006-03-14
051,CANNONAU N.,006,I - VCR 256,2015-12-30,2,,,G.U. 16,2016-01-21
052,CARICAGIOLA N.,,,1970-05-25,,,,G.U. 149,1970-06-17
053,CARICA L'ASINO B.,,,1970-05-25,,,,G.U. 149,1970-06-17
054,CARIGNANO N.,,,1970-05-25,,"(037) BOVALE GRANDE N., (164) NERELLO CAPPUCCIO N.",,G.U. 149,1970-06-17
054,CARIGNANO N.,001,I - CFC 8,1993-07-15,14,,,G.U. 179,1993-08-02
